crop_id,subset,image,box_index,original_class,orig_x1,orig_y1,orig_x2,orig_y2,confirmed,reviewer_class,redraw_x1y1x2y2,comment
Image__2023-06-07__16-11-14__b0,train,Image__2023-06-07__16-11-14.jpg,0,defect,128,128,218,224,1,particle,,
20250509T110742Z_011056_203_mid_raw__b0,test_3,20250509T110742Z_011056_203_mid_raw.jpg,0,defect,128,128,288,288,1,defect,,
20250509T110742Z_011056_203_mid_raw__b1,test_3,20250509T110742Z_011056_203_mid_raw.jpg,1,defect,0,128,47,228,1,defect,,
20250509T110742Z_011056_203_mid_raw__b2,test_3,20250509T110742Z_011056_203_mid_raw.jpg,2,particle,128,128,260,218,1,defect,,
20250512T121808Z_003932_004_mid_raw__b0,test_3,20250512T121808Z_003932_004_mid_raw.jpg,0,particle,128,128,194,196,1,particle,,
Image__2023-10-04__11-43-10__b0,train,Image__2023-10-04__11-43-10.jpg,0,defect,128,128,215,219,1,defect,,
Image__2025-03-11__12-03-39__b0,train,Image__2025-03-11__12-03-39.jpg,0,particle,128,128,193,196,1,particle,,
Image__2023-06-09__13-29-46__b0,train,Image__2023-06-09__13-29-46.jpg,0,defect,128,128,201,215,1,defect,,
Image__2025-03-11__14-09-44__b0,train,Image__2025-03-11__14-09-44.jpg,0,particle,128,128,205,203,1,particle,,
Image__2025-03-11__14-09-44__b1,train,Image__2025-03-11__14-09-44.jpg,1,particle,128,70,198,140,1,particle,,
Image__2025-03-11__14-09-44__b2,train,Image__2025-03-11__14-09-44.jpg,2,particle,128,128,188,190,1,defect,,
Image__2025-03-11__12-16-33__b0,train,Image__2025-03-11__12-16-33.jpg,0,particle,128,128,200,197,1,particle,,
Image__2024-05-27__11-48-19__b0,val,Image__2024-05-27__11-48-19.jpg,0,defect,128,128,211,223,1,defect,,
Image__2023-10-04__11-35-05__b0,train,Image__2023-10-04__11-35-05.jpg,0,defect,128,128,204,208,1,defect,,
Image__2023-06-09__13-29-35__b0,train,Image__2023-06-09__13-29-35.jpg,0,defect,128,128,198,181,1,defect,,
20250512T120821Z_010390_326_mid_raw__b0,test_3,20250512T120821Z_010390_326_mid_raw.jpg,0,particle,0,128,66,215,1,particle,,
20250512T122234Z_007518_056_top_raw__b0,test_3,20250512T122234Z_007518_056_top_raw.jpg,0,particle,15,128,90,203,1,defect,,
Image__2023-10-04__12-45-06__b0,train,Image__2023-10-04__12-45-06.jpg,0,defect,128,128,215,233,1,defect,,
Image__2023-06-09__13-13-45__b0,train,Image__2023-06-09__13-13-45.jpg,0,defect,128,128,195,174,1,defect,,
20250509T100845Z_007295_065_top_raw__b0,test_3,20250509T100845Z_007295_065_top_raw.jpg,0,particle,128,128,302,228,1,particle,,
20250509T100845Z_007295_065_top_raw__b1,test_3,20250509T100845Z_007295_065_top_raw.jpg,1,particle,128,128,229,235,1,particle,,
Image_20230502120426040__b0,test_1,Image_20230502120426040.jpg,0,particle,128,128,212,211,1,defect,,
Image_20230502120426040__b1,test_1,Image_20230502120426040.jpg,1,particle,128,128,212,206,1,defect,,
Image_20230502120426040__b2,test_1,Image_20230502120426040.jpg,2,particle,128,128,196,193,1,particle,,
Image_20230502120426040__b3,test_1,Image_20230502120426040.jpg,3,particle,128,128,205,200,1,particle,,
Image_20230502120426040__b4,test_1,Image_20230502120426040.jpg,4,particle,128,128,166,203,1,particle,,
Image_20230502120426040__b5,test_1,Image_20230502120426040.jpg,5,particle,128,96,201,168,1,particle,,
Image_20230502120426040__b6,test_1,Image_20230502120426040.jpg,6,particle,128,128,197,197,1,particle,,
Image_20230502120426040__b7,test_1,Image_20230502120426040.jpg,7,particle,128,128,169,197,1,particle,,
Image__2025-03-11__11-50-13__b0,train,Image__2025-03-11__11-50-13.jpg,0,particle,128,11,193,79,1,particle,,
Image__2025-03-11__11-50-13__b1,train,Image__2025-03-11__11-50-13.jpg,1,particle,128,128,199,171,1,particle,,
Image__2025-03-11__11-50-13__b2,train,Image__2025-03-11__11-50-13.jpg,2,particle,128,128,188,195,1,particle,,
Image__2024-05-27__11-47-47__b0,val,Image__2024-05-27__11-47-47.jpg,0,defect,128,128,229,255,1,defect,,
Image__2025-03-11__13-55-11__b0,train,Image__2025-03-11__13-55-11.jpg,0,defect,128,128,197,205,1,defect,,
Image__2025-03-11__13-55-11__b1,train,Image__2025-03-11__13-55-11.jpg,1,defect,128,128,203,214,1,defect,,
20250512T152727Z_011274_185_bot_raw__b0,test_3,20250512T152727Z_011274_185_bot_raw.jpg,0,particle,26,128,102,202,1,particle,,
20250512T152727Z_011274_185_bot_raw__b1,test_3,20250512T152727Z_011274_185_bot_raw.jpg,1,particle,128,128,211,210,1,particle,,
20250512T152727Z_011274_185_bot_raw__b2,test_3,20250512T152727Z_011274_185_bot_raw.jpg,2,particle,128,128,193,205,1,particle,,
20250512T120752Z_009507_313_bot_raw__b0,test_3,20250512T120752Z_009507_313_bot_raw.jpg,0,particle,128,128,207,191,1,defect,,
Image__2023-10-04__16-19-29__b0,train,Image__2023-10-04__16-19-29.jpg,0,defect,128,128,217,186,1,defect,,
Image__2025-03-11__14-08-56__b0,train,Image__2025-03-11__14-08-56.jpg,0,particle,128,128,201,202,1,defect,,
20250512T150010Z_004196_093_top_raw__b0,test_3,20250512T150010Z_004196_093_top_raw.jpg,0,particle,128,128,206,205,1,particle,,
Image__2023-06-09__13-32-51__b0,train,Image__2023-06-09__13-32-51.jpg,0,defect,128,128,202,181,1,defect,,
20250509T105918Z_016360_150_bot_raw__b0,test_3,20250509T105918Z_016360_150_bot_raw.jpg,0,particle,128,128,210,211,1,particle,,
20250509T110549Z_014588_203_mid_raw__b0,test_3,20250509T110549Z_014588_203_mid_raw.jpg,0,particle,128,128,211,209,1,particle,,
Image__2025-03-11__11-58-10__b0,train,Image__2025-03-11__11-58-10.jpg,0,particle,128,128,198,167,1,particle,,
Image__2025-03-11__11-58-10__b1,train,Image__2025-03-11__11-58-10.jpg,1,particle,128,128,194,194,1,particle,,
Image__2025-03-11__11-58-10__b2,train,Image__2025-03-11__11-58-10.jpg,2,particle,128,128,198,171,1,particle,,
20250512T150711Z_007087_105_bot_raw__b0,test_3,20250512T150711Z_007087_105_bot_raw.jpg,0,particle,128,128,210,206,1,particle,,
20250512T150711Z_007087_105_bot_raw__b1,test_3,20250512T150711Z_007087_105_bot_raw.jpg,1,particle,128,128,207,203,1,particle,,
20250512T121821Z_003491_017_top_raw__b0,test_3,20250512T121821Z_003491_017_top_raw.jpg,0,particle,128,128,210,207,1,particle,,
20250512T121821Z_003491_017_top_raw__b1,test_3,20250512T121821Z_003491_017_top_raw.jpg,1,particle,128,128,201,184,1,particle,,
Image__2025-03-11__14-08-08__b0,train,Image__2025-03-11__14-08-08.jpg,0,particle,128,128,192,188,1,particle,,
Image__2025-03-11__12-45-52__b0,train,Image__2025-03-11__12-45-52.jpg,0,particle,128,128,185,182,1,particle,,
Image__2025-03-11__12-45-52__b1,train,Image__2025-03-11__12-45-52.jpg,1,particle,128,128,195,197,1,particle,,
Image__2025-03-11__12-45-52__b2,train,Image__2025-03-11__12-45-52.jpg,2,defect,128,128,174,230,1,defect,,
Image__2025-03-11__12-45-52__b3,train,Image__2025-03-11__12-45-52.jpg,3,particle,128,128,186,185,1,particle,,
20250509T105433Z_007741_150_bot_raw__b0,test_3,20250509T105433Z_007741_150_bot_raw.jpg,0,particle,97,128,168,197,1,particle,,
20250509T095355Z_018123_354_bot_raw__b0,test_3,20250509T095355Z_018123_354_bot_raw.jpg,0,particle,128,128,211,211,1,particle,,
Image__2023-06-09__13-12-30__b0,train,Image__2023-06-09__13-12-30.jpg,0,defect,128,128,178,174,1,particle,,
Image__2023-10-04__11-21-32__b0,train,Image__2023-10-04__11-21-32.jpg,0,defect,128,128,196,196,1,defect,,
20250512T153433Z_003937_228_mid_raw__b0,test_3,20250512T153433Z_003937_228_mid_raw.jpg,0,particle,128,128,194,216,1,particle,,
20250512T153433Z_003937_228_mid_raw__b1,test_3,20250512T153433Z_003937_228_mid_raw.jpg,1,particle,128,128,202,204,1,particle,,
Image__2024-07-29__14-07-32__b0,train,Image__2024-07-29__14-07-32.jpg,0,defect,128,128,203,228,1,particle,,
20250509T105544Z_009948_150_bot_raw__b0,test_3,20250509T105544Z_009948_150_bot_raw.jpg,0,particle,128,128,221,240,1,particle,,
Image__2025-03-11__14-07-43__b0,train,Image__2025-03-11__14-07-43.jpg,0,particle,128,128,168,203,1,particle,,
Image__2025-03-11__14-07-43__b1,train,Image__2025-03-11__14-07-43.jpg,1,particle,128,128,190,189,1,particle,,
20250509T094507Z_002666_023_top_raw__b0,test_3,20250509T094507Z_002666_023_top_raw.jpg,0,particle,128,128,225,225,1,particle,,
20250512T120614Z_006637_326_mid_raw__b0,test_3,20250512T120614Z_006637_326_mid_raw.jpg,0,particle,128,128,203,202,1,particle,,
Image__2025-03-11__11-50-28__b0,train,Image__2025-03-11__11-50-28.jpg,0,particle,128,0,201,44,1,particle,,
Image__2025-03-11__12-41-34__b0,train,Image__2025-03-11__12-41-34.jpg,0,particle,128,128,195,196,1,particle,,
Image__2025-03-11__12-41-34__b1,train,Image__2025-03-11__12-41-34.jpg,1,particle,128,0,203,42,1,particle,,
Image__2025-03-11__12-41-34__b2,train,Image__2025-03-11__12-41-34.jpg,2,particle,128,128,195,197,1,particle,,
Image__2025-03-11__12-41-34__b3,train,Image__2025-03-11__12-41-34.jpg,3,particle,128,128,198,194,1,particle,,
Image__2025-03-11__12-41-34__b4,train,Image__2025-03-11__12-41-34.jpg,4,particle,128,128,235,239,1,particle,,
20250509T092908Z_019006_338_top_raw__b0,test_3,20250509T092908Z_019006_338_top_raw.jpg,0,particle,128,128,228,213,1,particle,,
20250509T102327Z_016359_101_top_raw__b0,test_3,20250509T102327Z_016359_101_top_raw.jpg,0,defect,128,128,200,240,1,particle,,
Image__2023-06-07__16-59-21__b0,train,Image__2023-06-07__16-59-21.jpg,0,defect,128,128,211,224,1,defect,,
Image__2025-03-11__13-36-12__b0,train,Image__2025-03-11__13-36-12.jpg,0,particle,128,128,193,195,1,particle,,
Image__2025-03-11__13-36-12__b1,train,Image__2025-03-11__13-36-12.jpg,1,particle,128,62,202,135,1,particle,,
Image__2025-03-11__13-36-12__b2,train,Image__2025-03-11__13-36-12.jpg,2,particle,128,128,200,199,1,particle,,
20250512T152322Z_004652_185_bot_raw__b0,test_3,20250512T152322Z_004652_185_bot_raw.jpg,0,particle,111,128,185,199,1,particle,,
20250512T152322Z_004652_185_bot_raw__b1,test_3,20250512T152322Z_004652_185_bot_raw.jpg,1,particle,0,128,43,209,1,particle,,
20250512T152322Z_004652_185_bot_raw__b2,test_3,20250512T152322Z_004652_185_bot_raw.jpg,2,particle,128,128,198,198,1,particle,,
20250512T152322Z_004652_185_bot_raw__b3,test_3,20250512T152322Z_004652_185_bot_raw.jpg,3,particle,128,128,197,207,1,particle,,
Image_20230502130742545__b0,test_1,Image_20230502130742545.jpg,0,particle,128,128,200,196,1,defect,,
Image_20230502130742545__b1,test_1,Image_20230502130742545.jpg,1,particle,128,128,207,203,1,defect,,
Image_20230502130742545__b2,test_1,Image_20230502130742545.jpg,2,particle,128,128,208,206,1,defect,,
Image_20230502130742545__b3,test_1,Image_20230502130742545.jpg,3,particle,128,128,206,195,1,defect,,
Image_20230502130742545__b4,test_1,Image_20230502130742545.jpg,4,particle,128,128,198,163,1,defect,,
20250512T122403Z_009947_031_bot_raw__b0,test_3,20250512T122403Z_009947_031_bot_raw.jpg,0,particle,128,128,199,189,1,particle,,
20250512T145600Z_011702_081_mid_raw__b0,test_3,20250512T145600Z_011702_081_mid_raw.jpg,0,defect,128,128,207,260,1,defect,,
Image_20230502123658100__b0,test_1,Image_20230502123658100.jpg,0,particle,128,128,203,198,1,defect,,
20250509T111852Z_007091_241_mid_raw__b0,test_3,20250509T111852Z_007091_241_mid_raw.jpg,0,particle,128,128,230,235,1,defect,,
Image__2023-10-04__11-42-56__b0,train,Image__2023-10-04__11-42-56.jpg,0,defect,128,128,238,249,1,defect,,
Image__2025-03-11__12-04-56__b0,train,Image__2025-03-11__12-04-56.jpg,0,particle,128,128,199,199,1,particle,,
Image__2025-03-11__12-04-56__b1,train,Image__2025-03-11__12-04-56.jpg,1,particle,128,128,203,204,1,particle,,
Image__2023-10-04__11-53-06__b0,train,Image__2023-10-04__11-53-06.jpg,0,defect,128,128,227,211,1,defect,,
20250509T105154Z_002884_179_top_raw__b0,test_3,20250509T105154Z_002884_179_top_raw.jpg,0,particle,128,128,202,188,1,particle,,
20250509T104237Z_009939_112_bot_raw__b0,test_3,20250509T104237Z_009939_112_bot_raw.jpg,0,particle,128,128,199,196,1,particle,,
20250512T153308Z_006366_242_top_raw__b0,test_3,20250512T153308Z_006366_242_top_raw.jpg,0,particle,128,128,205,204,1,particle,,
20250512T153308Z_006366_242_top_raw__b1,test_3,20250512T153308Z_006366_242_top_raw.jpg,1,particle,128,128,197,198,1,particle,,
20250512T153308Z_006366_242_top_raw__b2,test_3,20250512T153308Z_006366_242_top_raw.jpg,2,particle,128,128,208,206,1,particle,,
Image__2023-06-27__14-38-35__b0,train,Image__2023-06-27__14-38-35.jpg,0,defect,128,128,306,271,1,defect,,
Image__2025-03-11__12-44-53__b0,train,Image__2025-03-11__12-44-53.jpg,0,defect,128,128,203,209,1,defect,,
Image__2025-03-11__12-44-53__b1,train,Image__2025-03-11__12-44-53.jpg,1,particle,128,128,195,193,1,particle,,
Image__2025-03-11__12-44-53__b2,train,Image__2025-03-11__12-44-53.jpg,2,particle,128,128,195,194,1,particle,,
20250509T112138Z_012169_227_bot_raw__b0,test_3,20250509T112138Z_012169_227_bot_raw.jpg,0,particle,128,128,212,210,1,defect,,
20250507T160033Z_007517_265_bot_raw__b0,test_3,20250507T160033Z_007517_265_bot_raw.jpg,0,particle,0,128,53,224,1,particle,,
Image__2025-03-11__12-56-50__b0,train,Image__2025-03-11__12-56-50.jpg,0,defect,128,128,202,222,1,defect,,
Image__2025-03-11__12-56-50__b1,train,Image__2025-03-11__12-56-50.jpg,1,particle,128,128,194,168,1,particle,,
Image__2025-03-11__13-17-44__b0,train,Image__2025-03-11__13-17-44.jpg,0,particle,128,128,195,196,1,particle,,
Image__2025-03-11__13-17-44__b1,train,Image__2025-03-11__13-17-44.jpg,1,particle,128,128,191,189,1,particle,,
Image__2025-03-11__13-17-44__b2,train,Image__2025-03-11__13-17-44.jpg,2,particle,128,73,195,138,1,particle,,
Image__2025-03-11__13-17-44__b3,train,Image__2025-03-11__13-17-44.jpg,3,particle,128,128,194,191,1,particle,,
Image__2025-03-11__13-17-44__b4,train,Image__2025-03-11__13-17-44.jpg,4,particle,128,128,188,189,1,particle,,
Image__2025-03-11__13-17-44__b5,train,Image__2025-03-11__13-17-44.jpg,5,particle,128,76,199,146,1,particle,,
Image_20230502130815873__b0,test_1,Image_20230502130815873.jpg,0,particle,128,128,196,161,1,defect,,
Image__2023-06-09__13-40-44__b0,train,Image__2023-06-09__13-40-44.jpg,0,defect,128,128,288,259,1,defect,,
Image__2024-07-29__13-32-33__b0,train,Image__2024-07-29__13-32-33.jpg,0,defect,128,128,296,243,1,defect,,
Image__2023-06-05__17-20-37__b0,train,Image__2023-06-05__17-20-37.jpg,0,defect,128,128,193,201,1,particle,,
20250507T161804Z_017281_346_top_raw__b0,test_3,20250507T161804Z_017281_346_top_raw.jpg,0,particle,128,128,207,206,1,particle,,
Image__2023-06-27__14-39-30__b0,train,Image__2023-06-27__14-39-30.jpg,0,defect,128,128,225,208,1,defect,,
Image__2025-03-11__11-31-37__b0,train,Image__2025-03-11__11-31-37.jpg,0,particle,128,128,190,190,1,particle,,
Image__2025-03-11__11-31-37__b1,train,Image__2025-03-11__11-31-37.jpg,1,particle,128,86,190,156,1,particle,,
20250509T104112Z_010822_112_bot_raw__b0,test_3,20250509T104112Z_010822_112_bot_raw.jpg,0,particle,128,128,199,199,1,particle,,
20250512T153405Z_004820_213_bot_raw__b0,test_3,20250512T153405Z_004820_213_bot_raw.jpg,0,particle,71,128,139,194,1,particle,,
20250512T153405Z_004820_213_bot_raw__b1,test_3,20250512T153405Z_004820_213_bot_raw.jpg,1,particle,128,128,207,206,1,particle,,
20250512T153405Z_004820_213_bot_raw__b2,test_3,20250512T153405Z_004820_213_bot_raw.jpg,2,particle,128,128,195,178,1,particle,,
20250512T153405Z_004820_213_bot_raw__b3,test_3,20250512T153405Z_004820_213_bot_raw.jpg,3,particle,128,128,207,202,1,particle,,
20250512T153405Z_004820_213_bot_raw__b4,test_3,20250512T153405Z_004820_213_bot_raw.jpg,4,particle,128,128,182,195,1,particle,,
20250512T153405Z_004820_213_bot_raw__b5,test_3,20250512T153405Z_004820_213_bot_raw.jpg,5,particle,128,128,197,195,1,particle,,
20250512T153405Z_004820_213_bot_raw__b6,test_3,20250512T153405Z_004820_213_bot_raw.jpg,6,particle,128,128,206,204,1,particle,,
20250512T153405Z_004820_213_bot_raw__b7,test_3,20250512T153405Z_004820_213_bot_raw.jpg,7,particle,128,128,202,201,1,particle,,
20250512T153405Z_004820_213_bot_raw__b8,test_3,20250512T153405Z_004820_213_bot_raw.jpg,8,particle,128,128,200,200,1,particle,,
Image__2023-10-04__13-14-22__b0,train,Image__2023-10-04__13-14-22.jpg,0,defect,128,128,194,193,1,particle,,
20250512T145958Z_004638_068_bot_raw__b0,test_3,20250512T145958Z_004638_068_bot_raw.jpg,0,particle,128,128,205,202,1,particle,,
Image__2025-03-11__11-04-16__b0,train,Image__2025-03-11__11-04-16.jpg,0,particle,128,84,201,167,1,particle,,
Image__2025-03-11__11-04-16__b1,train,Image__2025-03-11__11-04-16.jpg,1,particle,128,128,192,192,1,particle,,
20250509T100954Z_005308_050_mid_raw__b0,test_3,20250509T100954Z_005308_050_mid_raw.jpg,0,defect,128,128,287,295,1,defect,,
20250509T105635Z_011494_150_bot_raw__b0,test_3,20250509T105635Z_011494_150_bot_raw.jpg,0,particle,42,128,107,191,1,particle,,
Image__2024-07-29__14-09-21__b0,train,Image__2024-07-29__14-09-21.jpg,0,defect,128,128,214,210,1,defect,,
Image__2024-07-29__14-40-33__b0,train,Image__2024-07-29__14-40-33.jpg,0,defect,128,128,221,203,1,defect,,
Image__2023-06-27__13-43-00__b0,train,Image__2023-06-27__13-43-00.jpg,0,defect,128,128,237,260,1,defect,,
20250512T151825Z_006373_143_bot_raw__b0,test_3,20250512T151825Z_006373_143_bot_raw.jpg,0,particle,128,128,199,199,1,particle,,
Image__2025-03-11__14-15-31__b0,train,Image__2025-03-11__14-15-31.jpg,0,defect,128,128,272,287,1,defect,,
20250512T153000Z_011893_242_top_raw__b0,test_3,20250512T153000Z_011893_242_top_raw.jpg,0,particle,128,128,204,200,1,particle,,
Image__2023-06-05__17-46-04__b0,train,Image__2023-06-05__17-46-04.jpg,0,defect,128,128,297,341,1,defect,,
Image__2024-05-28__11-58-05__b0,test_2,Image__2024-05-28__11-58-05.jpg,0,defect,128,128,230,230,1,defect,,
20250512T120615Z_006637_313_bot_raw__b0,test_3,20250512T120615Z_006637_313_bot_raw.jpg,0,particle,0,128,65,193,1,particle,,
Image__2023-06-07__16-57-03__b0,train,Image__2023-06-07__16-57-03.jpg,0,defect,128,128,198,192,1,defect,,
Image__2025-03-11__13-53-06__b0,train,Image__2025-03-11__13-53-06.jpg,0,particle,128,16,201,92,1,particle,,
Image__2023-06-07__16-02-37__b0,train,Image__2023-06-07__16-02-37.jpg,0,defect,128,128,204,211,1,defect,,
20250509T101811Z_007312_087_mid_raw__b0,test_3,20250509T101811Z_007312_087_mid_raw.jpg,0,particle,128,128,216,213,1,particle,,
Image__2023-10-04__16-20-42__b0,train,Image__2023-10-04__16-20-42.jpg,0,defect,128,128,200,204,1,defect,,
Image__2025-03-11__12-44-33__b0,train,Image__2025-03-11__12-44-33.jpg,0,particle,128,128,203,196,1,particle,,
Image__2023-06-07__13-12-54__b0,train,Image__2023-06-07__13-12-54.jpg,0,defect,128,128,225,217,1,particle,,
Image__2023-06-05__17-45-06__b0,train,Image__2023-06-05__17-45-06.jpg,0,defect,128,128,269,277,1,defect,,
Image__2025-03-11__12-41-15__b0,train,Image__2025-03-11__12-41-15.jpg,0,particle,128,128,185,188,1,particle,,
Image__2025-03-11__12-41-15__b1,train,Image__2025-03-11__12-41-15.jpg,1,particle,128,128,192,192,1,particle,,
Image__2025-03-11__12-41-15__b2,train,Image__2025-03-11__12-41-15.jpg,2,particle,128,128,191,193,1,particle,,
Image__2025-03-11__12-41-15__b3,train,Image__2025-03-11__12-41-15.jpg,3,particle,128,128,181,183,1,particle,,
Image__2025-03-11__12-41-15__b4,train,Image__2025-03-11__12-41-15.jpg,4,particle,128,0,205,66,1,particle,,
Image__2025-03-11__12-41-15__b5,train,Image__2025-03-11__12-41-15.jpg,5,particle,128,128,200,197,1,particle,,
20250512T112509Z_003775_259_mid_raw__b0,test_3,20250512T112509Z_003775_259_mid_raw.jpg,0,particle,128,128,215,212,1,particle,,
Image_20230502120013293__b0,test_1,Image_20230502120013293.jpg,0,particle,128,59,203,132,1,particle,,
Image_20230502120013293__b1,test_1,Image_20230502120013293.jpg,1,particle,128,128,196,194,1,particle,,
Image_20230502120013293__b2,test_1,Image_20230502120013293.jpg,2,particle,128,128,198,195,1,particle,,
Image_20230502120013293__b3,test_1,Image_20230502120013293.jpg,3,particle,128,128,200,197,1,particle,,
Image_20230502120013293__b4,test_1,Image_20230502120013293.jpg,4,particle,128,128,185,184,1,particle,,
Image_20230502120013293__b5,test_1,Image_20230502120013293.jpg,5,particle,128,128,216,205,1,particle,,
Image_20230502120013293__b6,test_1,Image_20230502120013293.jpg,6,particle,128,128,190,186,1,particle,,
Image_20230502120013293__b7,test_1,Image_20230502120013293.jpg,7,particle,128,128,191,188,1,particle,,
Image_20230502120013293__b8,test_1,Image_20230502120013293.jpg,8,particle,128,128,160,194,1,particle,,
Image_20230502120013293__b9,test_1,Image_20230502120013293.jpg,9,particle,56,128,125,193,1,particle,,
Image_20230502120013293__b10,test_1,Image_20230502120013293.jpg,10,particle,128,128,189,180,1,particle,,
Image_20230502120013293__b11,test_1,Image_20230502120013293.jpg,11,particle,128,128,201,200,1,particle,,
Image__2023-06-07__16-35-13__b0,train,Image__2023-06-07__16-35-13.jpg,0,defect,128,128,227,218,1,defect,,
Image__2023-06-07__12-30-52__b0,train,Image__2023-06-07__12-30-52.jpg,0,defect,128,128,323,290,1,defect,,
20250512T112735Z_007969_260_mid_raw__b0,test_3,20250512T112735Z_007969_260_mid_raw.jpg,0,particle,128,128,230,212,1,particle,,
20250507T161748Z_017973_314_bot_raw__b0,test_3,20250507T161748Z_017973_314_bot_raw.jpg,0,particle,128,128,195,217,1,particle,,
20250509T093745Z_008171_324_mid_raw__b0,test_3,20250509T093745Z_008171_324_mid_raw.jpg,0,particle,128,53,233,161,1,defect,,
20250509T092054Z_008415_280_mid_raw__b0,test_3,20250509T092054Z_008415_280_mid_raw.jpg,0,defect,128,128,213,319,1,defect,,
20250509T092054Z_008415_280_mid_raw__b1,test_3,20250509T092054Z_008415_280_mid_raw.jpg,1,defect,128,128,197,271,1,defect,,
Image__2024-05-28__12-26-20__b0,test_2,Image__2024-05-28__12-26-20.jpg,0,defect,128,128,221,217,1,defect,,
Image__2024-05-28__13-56-02__b0,test_2,Image__2024-05-28__13-56-02.jpg,0,defect,128,128,230,222,1,particle,,
Image__2025-03-11__12-20-07__b0,train,Image__2025-03-11__12-20-07.jpg,0,particle,128,128,163,195,1,particle,,
20250512T152711Z_011053_213_top_raw__b0,test_3,20250512T152711Z_011053_213_top_raw.jpg,0,particle,128,128,203,201,1,particle,,
Image__2025-03-11__10-59-15__b0,train,Image__2025-03-11__10-59-15.jpg,0,particle,128,128,191,189,1,particle,,
Image__2025-03-11__11-52-38__b0,train,Image__2025-03-11__11-52-38.jpg,0,particle,128,128,178,199,1,particle,,
Image__2025-03-11__11-52-38__b1,train,Image__2025-03-11__11-52-38.jpg,1,particle,128,128,196,198,1,particle,,
Image__2025-03-11__11-52-38__b2,train,Image__2025-03-11__11-52-38.jpg,2,particle,128,128,194,192,1,particle,,
Image__2023-10-04__12-54-31__b0,train,Image__2023-10-04__12-54-31.jpg,0,defect,128,128,211,210,1,defect,,
20250512T152017Z_003503_147_bot_raw__b0,test_3,20250512T152017Z_003503_147_bot_raw.jpg,0,particle,128,128,198,199,1,particle,,
Image__2025-03-11__11-52-06__b0,train,Image__2025-03-11__11-52-06.jpg,0,particle,46,128,124,204,1,particle,,
Image__2025-03-11__11-52-06__b1,train,Image__2025-03-11__11-52-06.jpg,1,particle,128,128,254,219,1,defect,,
Image__2023-06-09__13-12-16__b0,train,Image__2023-06-09__13-12-16.jpg,0,defect,128,128,169,166,1,defect,,
20250512T122101Z_004869_056_top_raw__b0,test_3,20250512T122101Z_004869_056_top_raw.jpg,0,particle,128,128,170,205,1,particle,,
20250512T153316Z_006145_242_top_raw__b0,test_3,20250512T153316Z_006145_242_top_raw.jpg,0,particle,128,128,202,200,1,particle,,
20250512T153316Z_006145_242_top_raw__b1,test_3,20250512T153316Z_006145_242_top_raw.jpg,1,particle,128,128,202,205,1,particle,,
20250512T153316Z_006145_242_top_raw__b2,test_3,20250512T153316Z_006145_242_top_raw.jpg,2,particle,128,128,205,202,1,particle,,
Image__2025-03-11__13-30-07__b0,train,Image__2025-03-11__13-30-07.jpg,0,defect,128,128,241,259,1,defect,,
Image__2023-10-04__13-02-09__b0,train,Image__2023-10-04__13-02-09.jpg,0,defect,128,128,211,200,1,defect,,
Image__2024-05-28__11-55-10__b0,test_2,Image__2024-05-28__11-55-10.jpg,0,defect,128,128,256,247,1,defect,,
